,statement,target,image-path
0,Masks have negative impacts on 68% of children.,0,Pg 64__1_2cf0b23ce26b1a52254f6d452164a975.jpg
1,"""Owen in MA vs. Owen in RI ¡­ Advantage:Rhode Island.""",1,Pg 25__11_a3e905a54f5f1c6c177bc8d59ab41e00.jpg
2,Says Joe Biden ¡°is even talking about taking the wall down.¡±,0,Pg 78__13_2e96dc38974d3c4e6d8708f63a8aab93.jpg
3,"Says if you're refused service at a store for not wearing a mask ¡°call the department of health and report the store. Masks are suggested, not required.¡±",0,Pg 87__13_9b6ff338b6ccb54ac5a3843a79bdaff5.jpg
4,"Large machinery is ¡°required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.¡±",0,Pg 7__3_bd03d6d86a5d555fb9e66fe2918ba4ab.jpg
5,Says Gary Farmer¡¯s claim that he "received an 'A' from the NRA" is "an absolute lie.",1,Pg 22__11_d25fe98f047c887ea7a1f3b605996bfb.JPG
6,¡°More suicide deaths than coronavirus death past two months.¡±,0,Pg 71__12_4832481f798d0f9241196da853e5ea33.jpg
7,"""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.""",1,Pg 59__18_fa1bfe91364b0d35142e673c2df5d550.jpg
8,Georgia Secretary of State Brad Raffensperger used "$50 million of Zuckerberg money" in 2020 to "tip the scales.",0,Pg 24__20_4e66f973b2522cf1862e25405db70ba3.jpeg
9,There is ¡°aborted male fetus¡± in the Oxford-AstraZeneca ¡°Covid 19 vaccine.¡±,0,Pg 67__27_b9405a7bdb78c0614bc14a4aec5e444f.jpg
10,Says ¡°Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.¡±,0,Pg 50__6_c0ed1b0aeaf7d6797dc133fee6aeedbd.jpg
11,It¡¯s safer to be unvaccinated than vaccinated against COVID-19.,0,Pg 48__24_453f8b35b0cade85cdd07df85e46b892.jpg
12,The CDC recommends that only people with COVID-19 symptoms should wear masks.,0,Pg 89__15_91d46898ab3366d64dbf3b4fffab80eb.jpg
13,Proposed rule would limit milk for WIC participants,1,Pg 1__8_e2c9302bd1eda6f73b971376176a10ce.jpeg
14,"In 2008, Charlie Crist ¡®""applauded the pick of Sarah Palin and said she would do ¡®a great job.¡¯""",1,Pg 49__21_75790d14ffe17ce238b0aa14f2dab085.jpg
15,Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,1,Pg 41__6_f3f5271940b10170b9ad205d4dfcef5c.jpg
16,"""Most U.S. foreign assistance ... is given to U.S. companies and nonprofits in the form of contracts and grants.""",1,Pg 17__29_89850356558936695fcc6292ece6a747.jpg
17,Says the New York Times reported that Hillary Clinton and George Soros "paid (a) woman to accuse Trump of sexual attack.",0,Pg 99__9_754242431550ca62f708faec0f34ed3f.jpg
18,Thirty-four of the 47 men depicted in the famous "Declaration of Independence" painting were slaveholders.,1,Pg 9__3_2b545ad8cfd95d524cd00bc87b3a337c.jpeg
19,"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",1,Pg 9__23_0367db16858ae5c18b8db4b8ff9c5312.jpg
20,"During the Obama/Biden administration ¡°18,000 people got clemency.¡±",0,Pg 74__6_588e484510df34c56af7be57b34f4dbe.jpg
21,¡°CDC admits old ¡®science¡¯ was wrong¡± on COVID-19 quarantine guidance.,0,Pg 66__29_86ff0f39c60f29a895bc82bbf72e9ee9.jpg
22,Nurses submitting coronavirus tests say they all are coming back positive.,0,Pg 83__21_b6ce2bc810dbba23eda415ebd87ebead.jpg
23,"¡°Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.¡±",0,Pg 42__20_953a3807ad0caf8e05de0c5b39089630.jpg
24,"""Among the developed nations, we are the least economically and socially mobile country in the world.""",1,Pg 32__28_8364a67e76a729a95eef9015e30ccea4.jpg
