task_name,task_description,text,label
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I smiled through dinner because arguing would have taken more energy,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Why experts are suddenly talking about this bizarre habit in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Shocking secret doctors do not want you to know in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Why experts are suddenly talking about this bizarre habit,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The repair took patience, but now the machine feels dependable in a short report",1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",点击查看 这个普通家庭发现了惊人的东西 with comments from readers,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Researchers publish a new report on urban air quality,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The update was impressive if the goal was to hide every useful button today,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",I smiled through dinner because arguing would have taken more energy after a public discussion,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",This viral story has an ending you need to see after a public discussion,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",她没有说太多 却让整个下午都变得明亮,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",They fixed the bug by removing the feature I needed today,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",She opened the letter and what she found was unbelievable today,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The wait was long, but the final meal felt worth every minute in a short report",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The update was impressive if the goal was to hide every useful button after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",He promised a simple process; I spent the afternoon fixing errors in a short report,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",School board discusses teacher training plan after a public discussion,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",真不错 又一次在关键时刻崩溃了 in a short report,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","The repair took patience, but now the machine feels dependable with comments from readers",1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",我当然开心 毕竟谁不喜欢白忙一下午呢,0
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",一定要知道 医生从不主动告诉你的生活秘密 after a public discussion,1
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude",The ending was gentle in a way I did not expect in a short report,1
clickbait,"clickbait detection: decide whether a headline uses misleading curiosity gap, sensational wording, or click-inducing intention",Scientists compare soil samples from three regions,0
implicit_sentiment,"implicit sentiment detection: infer positive or negative feeling from subtle implication, emotion, sarcasm, and subjective attitude","I expected another boring update, but this one quietly made my day better in a short report",1
